"source_id","title","publisher","landing_page_url","direct_file_url","source_format","page_or_slide_count","publication_date","access_date","document_role","domain","language","licence_name","licence_evidence","licence_verification_status","copyright_owner","third_party_material_risk","personal_data_risk","redistribution_decision","original_file_committed","derived_text_allowed","corpus_status","exclusion_reason","local_filename","sha256","notes"
"S001","AI Opportunities Action Plan","Department for Science, Innovation and Technology","https://www.gov.uk/government/publications/ai-opportunities-action-plan","https://assets.publishing.service.gov.uk/media/67851771f0528401055d2329/ai_opportunities_action_plan.pdf","PDF","26","2025-01-13","2026-07-17","strategy","UK public-sector AI","English","Open Government Licence v3.0","PDF page 3: Crown copyright 2025; Open Government Licence v3.0 except where otherwise stated","verified_pdf_notice","Crown copyright","medium","low_public_official_information","approved_local_only","false","true","approved","","S001_ai_opportunities_action_plan_2025.pdf","DE68EED45514303E2E0E4280B5CDE8B7167AAA17D6F69E1B0716765AE4DE807D","Approved for local corpus and evaluation use; original PDF and visual assets remain uncommitted; derived text requires source attribution; related to S002 and S003 in ai_opportunities_action_plan_family"
"S002","AI Opportunities Action Plan: government response","Department for Science, Innovation and Technology","https://www.gov.uk/government/publications/ai-opportunities-action-plan-government-response","https://assets.publishing.service.gov.uk/media/678639913a9388161c5d2376/ai_opportunities_action_plan_government_repsonse.pdf","PDF","22","2025-01-13","2026-07-17","government_response","UK public-sector AI","English","Open Government Licence v3.0","PDF page 3: Crown copyright 2025; Open Government Licence v3.0 except where otherwise stated","verified_pdf_notice","Crown copyright","low","low_public_official_information","approved_local_only","false","true","approved","","S002_ai_opportunities_action_plan_government_response_2025.pdf","BC586580B66B7E29B6AB824408055B168F83909D3CFECFDA085EBF1E418E5358","Approved for local corpus and evaluation use with technical caveats; pages 9-21 contain table-heavy recommendation-response-timeline content; original PDF remains uncommitted; derived text requires source attribution; related to S001 and S003 in ai_opportunities_action_plan_family"
"S003","AI Opportunities Action Plan: One Year On","Department for Science, Innovation and Technology","https://www.gov.uk/government/publications/ai-opportunities-action-plan-one-year-on","https://assets.publishing.service.gov.uk/media/697a36873c71d838df6bd400/ai_opportunities_action_plan-one-year-on.pdf","PDF","16","2026-01-29","2026-07-17","progress_report","UK public-sector AI","English","Open Government Licence v3.0","PDF page 2: Crown copyright 2026; Open Government Licence v3.0 except where otherwise stated","verified_pdf_notice","Crown copyright","medium","low_public_official_information","approved_local_only","false","true","approved","","S003_ai_opportunities_action_plan_one_year_on_2026.pdf","ACC700C1D245171B413BE248E2D1B21C07666F6891AA273F271D19E64CE2AE6F","Approved for local corpus and evaluation use; official portrait photographs on pages 4 and 6 remain local-only; derived text requires source attribution; related to S001 and S002 in ai_opportunities_action_plan_family"
"S004","Artificial Intelligence Playbook for the UK Government","Government Digital Service","https://www.gov.uk/government/publications/ai-playbook-for-the-uk-government","https://assets.publishing.service.gov.uk/media/67aca2f7e400ae62338324bd/AI_Playbook_for_the_UK_Government__12_02_.pdf","PDF","118","2025-02-10","2026-07-19","operational_guidance","UK public-sector AI","English","Open Government Licence v3.0","PDF page 117: Crown copyright 2025; Open Government Licence v3.0 except where otherwise stated","verified_pdf_notice","Crown copyright","medium","low_public_official_information","approved_local_only","false","true","approved","","S004_ai_playbook_uk_government_2025.pdf","3417156B104AA32EF795491739B7790EEFE5E6F83F2F15A95E3872C4693CB5C0","Approved for documented local corpus and future evaluation use with structural caveats; long guidance document includes diagrams, tables, risk scenarios and case studies; original PDF and visual assets remain uncommitted; derived Crown text requires attribution"
"S005","Scotland's Artificial Intelligence strategy 2026-2031","Scottish Government","https://www.gov.scot/publications/scotlands-ai-strategy-2026-2031/","https://www.gov.scot/binaries/content/documents/govscot/publications/strategy-plan/2026/03/scotlands-ai-strategy-2026-2031/documents/ai-strategy-scotland/ai-strategy-scotland/govscot%3Adocument/ai-strategy-scotland.pdf","PDF","58","2026-03-20","2026-07-19","strategy","UK public-sector AI","English","Open Government Licence v3.0","PDF page 58: Crown copyright 2026; Open Government Licence v3.0 except where otherwise stated; third-party copyright warning; official website excludes graphic assets","verified_pdf_notice","Crown copyright","high","low_public_professional_information","approved_local_only","false","true","approved","","S005_scotland_ai_strategy_2026_2031.pdf","8BA9736044910F7C17C3FB46B44E58EED2734132DCD54F1BDCA547E3A8F6780C","Approved for documented local corpus and future evaluation use with high visual-layout caveats; multi-column pages, photographs, diagrams and graphic assets remain local-only; derived text requires attribution and must exclude graphic assets and unverified third-party material"
"S006","AI Adoption Research","Department for Science, Innovation and Technology","https://www.gov.uk/government/publications/ai-adoption-research","https://assets.publishing.service.gov.uk/media/6960f3924343a0da370869ba/AI_Adoption_Research_Report.pdf","PDF","61","2026-01-28","2026-07-19","adoption_research","UK public-sector AI","English","Open Government Licence v3.0","Official GOV.UK HTML publication and landing-page notice: Crown copyright 2026; Open Government Licence v3.0 except where otherwise stated; no separate PDF notice observed","verified_official_html_notice","Crown copyright","medium","low_anonymised_research_participants","approved_local_only","false","true","approved","","S006_ai_adoption_research_2026.pdf","DFE9F765EDD68F02698C7EB140F29DD88CA7010C928C3EBAE072DC7EA4D0B213","Approved for documented local corpus and future evaluation use with chart and table caveats; report contains aggregated survey data and anonymised quotations; original PDF remains uncommitted; derived Crown text requires attribution and long participant quotations should not be redistributed"
"S007","Artificial Intelligence and Public Standards: report","Committee on Standards in Public Life","https://www.gov.uk/government/publications/artificial-intelligence-and-public-standards-report","https://assets.publishing.service.gov.uk/media/5e553b3486650c10ec300a0c/Web_Version_AI_and_Public_Standards.PDF","PDF","78","2020-02-10","2026-07-19","governance_report","UK public-sector AI","English","Open Government Licence v3.0","Official GOV.UK landing-page footer: Open Government Licence v3.0 except where otherwise stated; no separate PDF notice observed","verified_landing_page_notice","Crown copyright","high","low_public_professional_information","approved_local_only","false","true","approved","","S007_ai_and_public_standards_report_2020.pdf","57FDFBF4B70D2724F86FB1F4AA8DCCE90A7971C1325108C9358109137B4CEBEF","Approved for documented local corpus and future evaluation use with two-column and quotation caveats; original PDF remains uncommitted; derived Crown text requires attribution; extensive third-party quotations must not be treated as unrestricted reusable material"
"S008","AI coding assistant trial: UK public sector findings report","Department for Science, Innovation and Technology and Government Digital Service","https://www.gov.uk/government/publications/ai-coding-assistant-trial","","HTML","","2025-09-12","2026-07-17","project_evaluation","UK public-sector AI","English","","","not_reviewed","","not_reviewed","not_reviewed","metadata_only","false","","deferred","current MVP does not include HTML ingestion","","",""
"S009","Planning and implementing real-world artificial intelligence (AI) evaluations: lessons from the AI in Health and Care Award","NHS England","https://www.england.nhs.uk/publication/planning-and-implementing-real-world-artificial-intelligence-ai-evaluations-lessons-from-the-ai-in-health-and-care-award/","","HTML","","2024-10-16","2026-07-17","project_evaluation","UK public-sector AI","English","","","not_reviewed","","not_reviewed","not_reviewed","metadata_only","false","","deferred","current MVP does not include HTML ingestion and licence requires separate review","","",""
"S010","Northstar Programme Portfolio Update","Project synthetic corpus","","","PPTX","7","2026-07-15","2026-07-20","portfolio_update","Synthetic AI programme management","English","Project-created synthetic fixture","docs/synthetic_data_policy.md","author_generated","Kang Li","none_created_from_scratch","none_fictional","approved_for_redistribution","true","true","approved","","S010_northstar_portfolio_update.pptx","982E6987B543623F51E1685412C44F40F48763AB6C4E3A614199D25222D83B61","Project-created fictional development fixture; family F-SYN-001; contains tables, a process diagram, risk records, current facts and an explicit superseded snapshot"
