source_id,document_family,source_format,split,corpus_role,ground_truth_status,leakage_group,freeze_status,notes
"S001","F-PUB-001","PDF","development","public_realism","planned_public_gold","ai_opportunities_action_plan_family","frozen","Related strategy document; must remain with S002-S003"
"S002","F-PUB-001","PDF","development","public_realism","planned_public_gold","ai_opportunities_action_plan_family","frozen","Related government-response document; must remain with S001 and S003"
"S003","F-PUB-001","PDF","development","public_realism","planned_public_gold","ai_opportunities_action_plan_family","frozen","Related progress-report document; must remain with S001-S002"
"S004","F-PUB-002","PDF","development","public_realism","planned_public_gold","uk_government_ai_guidance_family","frozen","Long guidance and case-study document"
"S005","F-PUB-003","PDF","held_out","public_realism","planned_public_gold","scotland_ai_strategy_family","frozen","Visual and multi-column held-out PDF"
"S006","F-PUB-004","PDF","development","public_realism","planned_public_gold","uk_ai_adoption_research_family","frozen","Statistical research and chart-heavy development PDF"
"S007","F-PUB-005","PDF","held_out","public_realism","planned_public_gold","ai_public_standards_report_family","frozen","Two-column governance held-out PDF"
"S010","F-SYN-001","PPTX","development","synthetic_benchmark","complete","F-SYN-001","frozen","Northstar current and superseded fact fixture"
"S011","F-SYN-002","PPTX","held_out","synthetic_benchmark","complete","F-SYN-002","frozen","Civic Assist unresolved-conflict fixture"
"S012","F-SYN-003","EML","development","synthetic_benchmark","complete","F-SYN-003","frozen","Atlas migration development email family"
"S013","F-SYN-003","EML","development","synthetic_benchmark","complete","F-SYN-003","frozen","Atlas migration development email family"
"S014","F-SYN-003","EML","development","synthetic_benchmark","complete","F-SYN-003","frozen","Atlas migration development email family"
"S015","F-SYN-004","EML","held_out","synthetic_benchmark","complete","F-SYN-004","frozen","Harbour analytics held-out email family"
"S016","F-SYN-004","EML","held_out","synthetic_benchmark","complete","F-SYN-004","frozen","Harbour analytics held-out email family"
"S017","F-SYN-004","EML","held_out","synthetic_benchmark","complete","F-SYN-004","frozen","Harbour analytics held-out email family"
